batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
T Kohler-Cadmore,48,16.0,88.88888888888889,3,3.0,54,2024
Yashpal Singh,47,11.75,71.21212121212122,4,4.0,66,2009
Ravi Bishnoi,45,4.090909090909091,67.16417910447761,17,11.0,67,2023
D Pretorius,44,11.0,157.14285714285714,5,4.0,28,2022
DR Sams,44,4.888888888888889,100.0,13,9.0,44,2022
Sunny Singh,43,10.75,138.70967741935485,5,4.0,31,2011
A Kamboj,42,21.0,116.66666666666667,8,2.0,36,2026
SK Trivedi,42,6.0,71.1864406779661,14,7.0,59,2009
S Arora,42,14.0,150.0,4,3.0,28,2026
AB Barath,42,21.0,100.0,3,2.0,42,2010
A Nehra,41,5.857142857142857,66.12903225806451,17,7.0,62,2010
BR Dunk,40,13.333333333333334,114.28571428571428,3,3.0,35,2014
LPC Silva,40,20.0,153.84615384615387,3,2.0,26,2008
Rasikh Salam,40,8.0,100.0,6,5.0,40,2024
J Yadav,40,10.0,111.11111111111111,4,4.0,36,2021
AUK Pathan,39,7.8,169.56521739130434,7,5.0,23,2011
Umar Gul,39,13.0,205.26315789473685,4,3.0,19,2008
DJ Thornely,39,13.0,73.58490566037736,4,3.0,53,2008
S Nadeem,39,2.7857142857142856,44.827586206896555,20,14.0,87,2013
MM Patel,39,6.5,95.1219512195122,12,6.0,41,2009
YS Chahal,37,5.285714285714286,43.02325581395349,17,7.0,86,2021
S Narwal,37,12.333333333333334,137.03703703703704,4,3.0,27,2013
KW Richardson,36,12.0,92.3076923076923,4,3.0,39,2013
Anureet Singh,36,9.0,76.59574468085107,8,4.0,47,2015
Joginder Sharma,36,9.0,120.0,5,4.0,30,2009
AN Ahmed,36,36.0,138.46153846153845,6,1.0,26,2011
Sohail Tanvir,36,12.0,124.13793103448276,5,3.0,29,2008
L Balaji,36,4.5,73.46938775510205,13,8.0,49,2010
M Ashwin,35,3.888888888888889,70.0,12,9.0,50,2021
A Kumble,35,11.666666666666666,74.46808510638297,15,3.0,47,2009
B Sumanth,35,35.0,94.5945945945946,4,1.0,37,2010
L Ronchi,34,6.8,100.0,5,5.0,34,2008
A Mithun,34,6.8,130.76923076923077,6,5.0,26,2011
AP Dole,34,17.0,154.54545454545453,2,2.0,22,2010
S Sreesanth,34,8.5,61.81818181818181,12,4.0,55,2010
Imran Tahir,33,8.25,89.1891891891892,8,4.0,37,2014
